Agency Name,State Name [District] Latest available year,County Name [District] 2014-15,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2014-15,Agency Type [District] 2014-15,Urban-centric Locale [District] 2014-15,Agency Charter Status [District] 2014-15,Lowest Grade Offered [District] 2014-15,Highest Grade Offered [District] 2014-15,"Total Students, All Grades (Excludes AE) [District] 2014-15",Full-Time Equivalent (FTE) Teachers [District] 2014-15,Pupil/Teacher Ratio [District] 2014-15
PHOENIX ADVANTAGE CHARTER SCHOOL  INC.,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,10th Grade,520,–,–
PHOENIX CENTRAL SCHOOL DISTRICT,New York,OSWEGO COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,1890,162.17,11.65
PHOENIX CHARTER ACADEMY (DISTRICT),Massachusetts,SUFFOLK COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,194,17.87,10.86
PHOENIX CHARTER SCHOOL,Texas,HUNT COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Prekindergarten,12th Grade,717,56.44,12.7
PHOENIX COLLEGIATE ACADEMY  INC.,Arizona,MARICOPA COUNTY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,531,–,–
PHOENIX COMMUNITY LEARNING CTR,Ohio,HAMILTON COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,350,–,–
PHOENIX EDUCATION MANAGEMENT  LLC,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,740,–,–
PHOENIX ELEMENTARY DISTRICT,Arizona,MARICOPA COUNTY,14,0,16,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,3-All associated schools are noncharter,Prekindergarten,8th Grade,7187,366.63,19.6
PHOENIX SCHOOL OF ACADEMIC EXCELLENCE THE,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,7th Grade,12th Grade,130,–,–
PHOENIX UNION HIGH SCHOOL DISTRICT,Arizona,MARICOPA COUNTY,15,0,16,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,3-All associated schools are noncharter,9th Grade,12th Grade,26900,1451,18.54
PHOENIX VILLAGE ACADEMY PRIMARY 1,Ohio,SUMMIT COUNTY,0,0,1,7-Independent Charter District,12-City: Mid-size,†,Kindergarten,4th Grade,†,†,†
PHOENIX-TALENT SD 4,Oregon,JACKSON COUNTY,6,1,6,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,2-All associated schools are charter and noncharter,Kindergarten,12th Grade,2734,129.22,21.16
PHOENIXVILLE AREA SD,Pennsylvania,CHESTER COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,3738,277.26,13.48
PICACHO ELEMENTARY DISTRICT,Arizona,PINAL COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,8th Grade,195,11,17.73
