Agency Name,State Name [District] Latest available year,County Name [District] 2014-15,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2014-15,Agency Type [District] 2014-15,Urban-centric Locale [District] 2014-15,Agency Charter Status [District] 2014-15,Lowest Grade Offered [District] 2014-15,Highest Grade Offered [District] 2014-15,"Total Students, All Grades (Excludes AE) [District] 2014-15",Full-Time Equivalent (FTE) Teachers [District] 2014-15,Pupil/Teacher Ratio [District] 2014-15
(ILC) ATOKA-COAL COUNTIES,Oklahoma,ATOKA COUNTY,0,0,†,8-Other education agencies,43-Rural: Remote,†,†,†,†,–,–
(ILC) CHOCTAW NATION,Oklahoma,BRYAN COUNTY,0,0,†,8-Other education agencies,41-Rural: Fringe,†,†,†,†,–,–
(ILC) FIVE-STAR,Oklahoma,PAYNE COUNTY,0,0,†,8-Other education agencies,32-Town: Distant,†,†,†,†,–,–
(ILC) OSAGE COUNTY,Oklahoma,OSAGE COUNTY,0,0,†,8-Other education agencies,32-Town: Distant,†,†,†,†,–,–
(ILC) POOLED INVESTMENT,Oklahoma,OKLAHOMA COUNTY,0,0,†,8-Other education agencies,11-City: Large,†,†,†,†,–,–
(ILC) SEMINOLE COUNTY,Oklahoma,SEMINOLE COUNTY,0,0,†,8-Other education agencies,32-Town: Distant,†,†,†,†,–,–
(ILC) SOUTHEASTERN OKLAHOMA,Oklahoma,MCCURTAIN COUNTY,0,0,†,8-Other education agencies,33-Town: Remote,†,†,†,†,–,–
(ILC) TRI-COUNTY,Oklahoma,CARTER COUNTY,0,0,†,8-Other education agencies,43-Rural: Remote,†,†,†,†,–,–
21ST CENTURY CHARTER SCH OF GARY,Indiana,LAKE COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,12th Grade,709,0,†
21ST CENTURY CYBER CS,Pennsylvania,CHESTER COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,6th Grade,12th Grade,845,37.2,22.72
21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,RACINE COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Prekindergarten,8th Grade,446,–,–
A CENTER FOR CREATIVE EDUCATION,Arizona,YAVAPAI COUNTY,2,2,2,7-Independent Charter District,32-Town: Distant,1-All associated schools are charter schools,Kindergarten,6th Grade,71,–,–
A CHILD'S VIEW SCHOOL  INC.,Arizona,PIMA COUNTY,0,0,1,7-Independent Charter District,21-Suburb: Large,†,Kindergarten,5th Grade,†,†,†
A E R O  SPEC EDUC COOP,Illinois,COOK COUNTY,2,0,2,4-Regional Education Service Agency (RESA),21-Suburb: Large,3-All associated schools are noncharter,†,†,–,41.1,–
A W BEATTIE CAREER CENTER,Pennsylvania,ALLEGHENY COUNTY,1,0,1,4-Regional Education Service Agency (RESA),21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,0,29,0
A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,Texas,DALLAS COUNTY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,8th Grade,2152,102,21.1
A+ ACADEMY,Texas,DALLAS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,12th Grade,975,73,13.36
A+ ARTS ACADEMY,Ohio,FRANKLIN COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,9th Grade,478,–,–
A+ CHILDREN'S ACADEMY,Ohio,FRANKLIN COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,6th Grade,128,–,–
A-C CENTRAL CUSD 262,Illinois,CASS COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,471,40.94,11.5
A-H-S-T COMM SCHOOL DISTRICT,Iowa,POTTAWATTAMIE COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,650,51.71,12.57
A. LINWOOD HOLTON GOV SCH,Virginia,WASHINGTON COUNTY,1,0,1,4-Regional Education Service Agency (RESA),23-Suburb: Small,3-All associated schools are noncharter,†,†,–,–,–
A.B. GRAHAM ACADEMY,Ohio,CHAMPAIGN COUNTY,0,0,1,7-Independent Charter District,42-Rural: Distant,†,Kindergarten,12th Grade,†,†,†
A.C.E. ACADEMY,North Carolina,CABARRUS COUNTY,1,1,1,7-Independent Charter District,22-Suburb: Mid-size,1-All associated schools are charter schools,Kindergarten,5th Grade,157,7,22.43
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MEEKER COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,777,61.52,12.63
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,LINCOLN PARISH,1,0,1,8-Other education agencies,32-Town: Distant,3-All associated schools are noncharter,Kindergarten,8th Grade,383,18.25,20.99
ABBEVILLE 60,South Carolina,ABBEVILLE COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,3051,213,14.32
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,CLARK COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,718,–,–
ABBOTT ISD,Texas,HILL COUNTY,1,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,264,24.23,10.9
ABBOTT UNION FREE SCHOOL DISTRICT,New York,WESTCHESTER COUNTY,0,0,1,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,†,†,†,†,†
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,WORCESTER COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,12th Grade,1428,117.04,12.2
ABC UNIFIED,California,LOS ANGELES COUNTY,30,0,30,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,20998,833.11,25.2
ABERDEEN DISTRICT,Idaho,BINGHAM COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,740,42.77,17.3
ABERDEEN SCHOOL DIST,Mississippi,MONROE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1300,93.79,13.86
ABERDEEN SCHOOL DISTRICT,Washington,GRAYS HARBOR COUNTY,11,0,11,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,3270,203.76,16.05
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,BROWN COUNTY,10,0,10,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,4383,272.47,16.09
ABERNATHY ISD,Texas,HALE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,779,66.5,11.71
ABILENE,Kansas,DICKINSON COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1687,–,–
ABILENE ISD,Texas,TAYLOR COUNTY,36,0,40,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,17324,1142.28,15.17
ABINGDON-AVON CUSD 276,Illinois,KNOX COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1003,64.05,15.66
ABINGTON,Massachusetts,PLYMOUTH COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,1956,127.06,15.39
ABINGTON HEIGHTS SD,Pennsylvania,LACKAWANNA COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,3286,226.08,14.53
ABINGTON SD,Pennsylvania,MONTGOMERY COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,7674,533.3,14.39
ABQ SCHOOL OF EXCELLENCE,New Mexico,BERNALILLO COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,1st Grade,12th Grade,309,20.62,14.99
ABQ SIGN LANGUAGE ACADEMY,New Mexico,BERNALILLO COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,94,10.9,8.62
ABSAROKEE ELEM,Montana,STILLWATER COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,169,–,–
ABSAROKEE H S,Montana,STILLWATER COUNTY,1,†,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,9th Grade,12th Grade,81,–,–
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,ATLANTIC COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,Kindergarten,8th Grade,988,66.3,14.9
ACADEMIA ANTONIA ALONSO,Delaware,NEW CASTLE COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,1st Grade,221,15.55,14.21
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,RAMSEY COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,6th Grade,353,23,15.35
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,MIDLAND COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,9th Grade,12th Grade,139,4.84,28.72
ACADEMIC ARTS HIGH SCHOOL,Minnesota,DAKOTA COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,79,5.57,14.18
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,BRONX COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,6th Grade,376,18,20.89
ACADEMICS PLUS CHARTER SCHOOL,Arkansas,PULASKI COUNTY,2,2,2,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,749,58.23,12.86
ACADEMIE LAFAYETTE,Missouri,JACKSON COUNTY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,871,61.7,14.12
ACADEMY CHARTER HIGH SCHOOL,New Jersey,MONMOUTH COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,192,17.25,11.13
ACADEMY CHARTER SCHOOL,New York,NASSAU COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,7th Grade,674,39,17.28
ACADEMY CS,Pennsylvania,ALLEGHENY COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,8th Grade,12th Grade,167,19.7,8.48
ACADEMY DEL SOL  INC.,Arizona,PIMA COUNTY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,641,–,–
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,DALLAS COUNTY,5,5,5,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,6th Grade,12th Grade,506,50.01,10.12
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,WAYNE COUNTY,2,2,2,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,662,33.65,19.67
ACADEMY FOR INTEGRATED ARTS,Missouri,JACKSON COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,4th Grade,88,6,14.67
ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),Utah,SALT LAKE COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,492,–,–
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,HILLSBOROUGH COUNTY,2,2,2,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,6th Grade,12th Grade,0,28.7,0
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,MIDDLESEX COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,386,2.72,141.91
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,MAHONING COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,9th Grade,12th Grade,134,–,–
ACADEMY ISD,Texas,BELL COUNTY,4,0,5,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1364,89.93,15.17
ACADEMY OF ACCELERATED LEARNING INC,Texas,HARRIS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,5th Grade,747,38.28,19.51
ACADEMY OF ARTS AND SCIENCES,Ohio,LORAIN COUNTY,1,1,1,7-Independent Charter District,22-Suburb: Mid-size,1-All associated schools are charter schools,Kindergarten,1st Grade,190,–,–
ACADEMY OF BUILDING INDUSTRIES  INC.,Arizona,MOHAVE COUNTY,1,1,1,7-Independent Charter District,33-Town: Remote,1-All associated schools are charter schools,9th Grade,12th Grade,107,–,–
ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL,Texas,BEXAR COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,222,12.86,17.26
ACADEMY OF DALLAS,Texas,DALLAS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,8th Grade,644,31,20.77
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,KENT COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,5th Grade,290,21.6,13.43
ACADEMY OF EDUCATIONAL EXCELLENCE,Ohio,LUCAS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,5th Grade,85,–,–
ACADEMY OF EXCELLENCE  INC.,Arizona,MARICOPA COUNTY,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,149,–,–
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,,,†,0,–
ACADEMY OF INTERNATIONAL STUDIES,Michigan,WAYNE COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,7th Grade,159,10.2,15.59
ACADEMY OF MATHEMATICS AND SCIENCE INC. 1,Arizona,PIMA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,412,–,–
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH  INC.,Arizona,PIMA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,231,–,–
ACADEMY OF SOUTHFIELD,Michigan,OAKLAND COUNTY,1,1,1,7-Independent Charter District,13-City: Small,1-All associated schools are charter schools,Kindergarten,8th Grade,286,18,15.89
ACADEMY OF THE CITY CHARTER SCHOOL,New York,QUEENS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,4th Grade,359,20.1,17.86
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,SUFFOLK COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,5th Grade,12th Grade,519,42.5,12.21
ACADEMY OF TRADES AND TECH,New Mexico,BERNALILLO COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,114,8.41,13.56
ACADEMY OF TUCSON  INC.,Arizona,PIMA COUNTY,3,3,3,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,697,–,–
ACADEMY OF WARREN,Michigan,MACOMB COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,8th Grade,609,47,12.96
ACADEMY OF WATERFORD,Michigan,OAKLAND COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,177,11.75,15.06
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,EL PASO COUNTY,35,4,35,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,24578,1500.63,16.38
ACADEMY WITH COMMUNITY PARTNERS  INC,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,140,–,–
ACADIA PARISH,Louisiana,ACADIA PARISH,27,0,27,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,10053,604.21,16.64
ACALANES UNION HIGH,California,CONTRA COSTA COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,9th Grade,12th Grade,5402,267.6,20.19
ACCELERATED ACHIEVEMENT ACADEMY OF CINCINNATI,Ohio,HAMILTON COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,174,–,–
ACCELERATED ACHIEVEMENT ACADEMY OF NORTH CINCINNATI,Ohio,HAMILTON COUNTY,0,0,1,7-Independent Charter District,11-City: Large,†,9th Grade,12th Grade,†,†,†
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS,Arizona,PIMA COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Kindergarten,12th Grade,220,–,–
ACCELERATED INTERMEDIATE ACADEMY,Texas,HARRIS COUNTY,1,1,4,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,6th Grade,254,16.85,15.07
ACCELERATED LEARNING CENTER  INC.,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,198,–,–
ACCELERATED LEARNING CHARTER SCHOOL  INC.,Arizona,YAVAPAI COUNTY,1,1,1,7-Independent Charter District,32-Town: Distant,1-All associated schools are charter schools,Kindergarten,8th Grade,65,–,–
ACCLAIM CHARTER SCHOOL,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,396,–,–
ACCOMACK CO PBLC SCHS,Virginia,ACCOMACK COUNTY,13,0,13,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,13th Grade,5258,314.56,16.72
ACE ACADEMY (SDA),Michigan,WAYNE COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,6th Grade,12th Grade,137,13,10.54
ACE LEADERSHIP HIGH SCHOOL,New Mexico,BERNALILLO COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,336,13,25.85
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,LUCAS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,8th Grade,12th Grade,186,–,–
ACHIEVE CHARTER ACADEMY,Michigan,WAYNE COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Kindergarten,8th Grade,744,32.38,22.98
ACHIEVE LANGUAGE ACADEMY,Minnesota,RAMSEY COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Prekindergarten,8th Grade,430,30.73,13.99
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,5th Grade,580,48,12.08
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,2nd Grade,236,21.33,11.06
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,7th Grade,727,56.5,12.87
ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,1030,75.98,13.56
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,980,99.19,9.88
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,10th Grade,837,76.98,10.87
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,972,69.99,13.89
ACHIEVEMENT FIRST HARTFORD AC,Connecticut,HARTFORD COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,11th Grade,954,89,10.72
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,1st Grade,191,14,13.64
ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL,NEW YORK,KINGS COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,1st Grade,181,15,12.07
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,PROVIDENCE COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,Kindergarten,2nd Grade,272,15,18.13
ACHIEVEMENT HOUSE CS,Pennsylvania,CHESTER COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,7th Grade,12th Grade,885,55.25,16.02
ACHIEVEMENT PREP ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,2,2,2,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,648,64.2,10.09
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,DAVIDSON COUNTY,24,17,26,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,7137,355.9,20.05
ACHILLE,Oklahoma,BRYAN COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,314,21.72,14.46
ACKERMAN CHARTER,California,PLACER COUNTY,1,1,1,7-Independent Charter District,31-Town: Fringe,1-All associated schools are charter schools,Kindergarten,8th Grade,556,28.24,19.69
ACORN MONTESSORI CHARTER SCHOOL,Arizona,YAVAPAI COUNTY,2,2,2,7-Independent Charter District,23-Suburb: Small,1-All associated schools are charter schools,Kindergarten,8th Grade,410,–,–
ACT ACADEMY CYBER CS,Pennsylvania,PHILADELPHIA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,110,3.5,31.43
ACTON,Massachusetts,MIDDLESEX COUNTY,0,0,†,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,†,Prekindergarten,6th Grade,†,†,†
ACTON PUBLIC SCHOOLS,Maine,YORK COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,306,20.79,14.72
ACTON-AGUA DULCE UNIFIED,California,LOS ANGELES COUNTY,16,12,22,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,2-All associated schools are charter and noncharter,Kindergarten,12th Grade,4043,219.57,18.41
ACTON-BOXBOROUGH,Massachusetts,MIDDLESEX COUNTY,8,0,8,4-Regional Education Service Agency (RESA),21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,5658,362.01,15.63
ACUSHNET,Massachusetts,BRISTOL COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,Prekindergarten,8th Grade,973,70.04,13.89
AD PRIMA CS,Pennsylvania,PHILADELPHIA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,586,40,14.65
ADA,Oklahoma,PONTOTOC COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,2739,197.51,13.87
ADA EXEMPTED VILLAGE,Ohio,HARDIN COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Kindergarten,12th Grade,851,–,–
ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,NORMAN COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,483,43.03,11.22
ADAIR,Oklahoma,MAYES COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,1051,61.68,17.04
ADAIR CO. R-I,Missouri,ADAIR COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,275,21,13.1
ADAIR CO. R-II,Missouri,ADAIR COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,183,22,8.32
ADAIR COUNTY,Kentucky,ADAIR COUNTY,5,†,5,1-Regular local school district that is NOT a component of a supervisory union,33-Town: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,2713,171,15.87
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,GUTHRIE COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,341,28.3,12.05
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,ADAMS COUNTY,5,0,5,4-Regional Education Service Agency (RESA),33-Town: Remote,3-All associated schools are noncharter,6th Grade,12th Grade,–,11,–
ADAMS 1 MAPLETON,Colorado,ADAMS COUNTY,0,0,†,4-Regional Education Service Agency (RESA),21-Suburb: Large,†,Prekindergarten,12th Grade,–,–,–
